epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6385.64,1.50184,1.63836,1.75103,0.66237,0.50673,0.58789,0.30239,1.84546,1.6641,2.20034,0.0011882,0.0011882,0.0011882
43,6531.87,1.51737,1.60675,1.77077,0.62861,0.54648,0.60154,0.28373,1.87767,1.70333,2.17115,0.0011684,0.0011684,0.0011684
44,6678.13,1.49676,1.58368,1.75051,0.63189,0.56054,0.6255,0.30733,1.83184,1.66052,2.13657,0.0011486,0.0011486,0.0011486
45,6825.9,1.50188,1.57081,1.74672,0.74151,0.47085,0.59226,0.2936,1.78197,1.73636,2.07264,0.0011288,0.0011288,0.0011288
46,6974.15,1.50907,1.59424,1.75024,0.65545,0.52915,0.58614,0.27748,1.89443,1.67613,2.14702,0.001109,0.001109,0.001109
47,7121.41,1.51341,1.53274,1.72753,0.68809,0.61883,0.64346,0.31908,1.82111,1.54419,2.09307,0.0010892,0.0010892,0.0010892
48,7269.27,1.54486,1.57775,1.74531,0.655,0.55157,0.59814,0.28341,1.86454,1.71248,2.14223,0.0010694,0.0010694,0.0010694
49,7415.58,1.488,1.57739,1.73492,0.67184,0.58296,0.64902,0.32099,1.78657,1.58136,2.02686,0.0010496,0.0010496,0.0010496
50,7561.75,1.45956,1.55661,1.72679,0.67505,0.56502,0.62861,0.31647,1.79461,1.52424,2.06957,0.0010298,0.0010298,0.0010298
51,7708.36,1.46732,1.49818,1.72786,0.69015,0.50942,0.61552,0.29775,1.83732,1.58988,2.12093,0.00101,0.00101,0.00101
52,7856.24,1.52401,1.54471,1.74229,0.66028,0.54909,0.59939,0.29801,1.83388,1.64544,2.1679,0.0009902,0.0009902,0.0009902
53,8004.56,1.46875,1.4815,1.7096,0.54911,0.57887,0.54111,0.27553,1.89188,1.68989,2.14168,0.0009704,0.0009704,0.0009704
54,8153.91,1.47681,1.53316,1.69738,0.6366,0.6278,0.64474,0.31176,1.86578,1.5143,2.04115,0.0009506,0.0009506,0.0009506
55,8301.94,1.4185,1.43266,1.66947,0.7092,0.57399,0.63654,0.31418,1.83024,1.52033,2.09743,0.0009308,0.0009308,0.0009308
56,8505.08,1.43563,1.44626,1.68297,0.69059,0.57848,0.65706,0.30309,1.91862,1.54126,2.1459,0.000911,0.000911,0.000911
57,8744.7,1.41115,1.44372,1.67792,0.71559,0.53812,0.65608,0.32957,1.80224,1.51107,2.10892,0.0008912,0.0008912,0.0008912
58,8982.82,1.41275,1.42247,1.68604,0.65891,0.60987,0.65185,0.31549,1.81872,1.50218,2.07518,0.0008714,0.0008714,0.0008714
59,9220.09,1.41412,1.43762,1.66301,0.67148,0.57848,0.65361,0.32046,1.84927,1.50766,2.09347,0.0008516,0.0008516,0.0008516
60,9458.4,1.38482,1.3554,1.64015,0.76066,0.62332,0.68839,0.34328,1.81131,1.45426,2.05598,0.0008318,0.0008318,0.0008318
61,9699.95,1.38458,1.40545,1.65497,0.78184,0.56054,0.67715,0.3284,1.82799,1.48067,2.09641,0.000812,0.000812,0.000812
62,9942.66,1.39897,1.44278,1.65281,0.7262,0.60987,0.66168,0.32052,1.85872,1.54861,2.12573,0.0007922,0.0007922,0.0007922
63,10188.6,1.42428,1.40782,1.66993,0.67822,0.64273,0.62542,0.30677,1.87097,1.53771,2.14092,0.0007724,0.0007724,0.0007724
64,10435.5,1.34146,1.34529,1.60103,0.768,0.58744,0.68476,0.33876,1.81571,1.45428,2.0613,0.0007526,0.0007526,0.0007526
65,10679.2,1.37234,1.34877,1.64129,0.70889,0.62242,0.6733,0.34079,1.83265,1.45936,2.10266,0.0007328,0.0007328,0.0007328
66,10921.3,1.34865,1.33189,1.63111,0.75653,0.59917,0.67386,0.32095,1.86494,1.54063,2.13248,0.000713,0.000713,0.000713
67,11166.2,1.3678,1.3346,1.63623,0.67404,0.63056,0.67241,0.33236,1.78041,1.46842,2.10726,0.0006932,0.0006932,0.0006932
68,11410.8,1.36983,1.33888,1.64375,0.70087,0.63043,0.67934,0.33893,1.78859,1.46147,2.09168,0.0006734,0.0006734,0.0006734
69,11652.2,1.335,1.25432,1.63622,0.75456,0.6009,0.68092,0.35378,1.73985,1.43386,2.04018,0.0006536,0.0006536,0.0006536
70,11897.1,1.35084,1.28186,1.61007,0.79712,0.56383,0.68496,0.34858,1.81966,1.41971,2.10294,0.0006338,0.0006338,0.0006338
71,12142.9,1.35286,1.28558,1.62529,0.77594,0.62118,0.70839,0.34572,1.84107,1.40347,2.07988,0.000614,0.000614,0.000614
72,12389.5,1.32205,1.29642,1.60912,0.77513,0.60538,0.70057,0.35882,1.79674,1.38261,2.07229,0.0005942,0.0005942,0.0005942
73,12642.7,1.30213,1.24037,1.60013,0.77682,0.59313,0.71578,0.35262,1.78559,1.35042,2.06971,0.0005744,0.0005744,0.0005744
74,12888.8,1.2889,1.21366,1.56836,0.73631,0.6278,0.67216,0.34691,1.81078,1.45774,2.09173,0.0005546,0.0005546,0.0005546
75,13134.9,1.3524,1.27814,1.6008,0.77452,0.63677,0.70949,0.3691,1.77169,1.37462,2.03935,0.0005348,0.0005348,0.0005348
76,13379.9,1.29886,1.21778,1.58368,0.7113,0.59661,0.66359,0.33398,1.81567,1.40393,2.12989,0.000515,0.000515,0.000515
77,13624,1.30913,1.25454,1.58331,0.69392,0.58296,0.65202,0.33482,1.81497,1.44809,2.11833,0.0004952,0.0004952,0.0004952
78,13866.8,1.30463,1.20889,1.5727,0.69539,0.69955,0.72453,0.36277,1.84153,1.37238,2.06272,0.0004754,0.0004754,0.0004754
79,14112.7,1.29947,1.23018,1.56357,0.7777,0.59641,0.71392,0.35462,1.81371,1.40227,2.05823,0.0004556,0.0004556,0.0004556
80,14355.7,1.27779,1.21418,1.57174,0.74378,0.60538,0.68354,0.33974,1.8289,1.44052,2.11934,0.0004358,0.0004358,0.0004358
81,14602,1.2744,1.19833,1.55994,0.72105,0.63677,0.69961,0.34613,1.81787,1.34562,2.08432,0.000416,0.000416,0.000416
82,14846.4,1.30116,1.20535,1.57397,0.77748,0.64126,0.71012,0.35722,1.8083,1.35918,2.05775,0.0003962,0.0003962,0.0003962
83,15090.9,1.26918,1.19167,1.5538,0.70529,0.62332,0.69079,0.35747,1.76364,1.3899,2.02927,0.0003764,0.0003764,0.0003764
84,15331.6,1.21311,1.1273,1.51893,0.72826,0.65022,0.69973,0.35656,1.79156,1.34449,2.05357,0.0003566,0.0003566,0.0003566
85,15575.2,1.24431,1.15475,1.52972,0.75851,0.63229,0.70698,0.35291,1.81555,1.39775,2.03901,0.0003368,0.0003368,0.0003368
86,15820.8,1.23704,1.14461,1.53507,0.81479,0.61156,0.7076,0.35041,1.79786,1.36103,2.05492,0.000317,0.000317,0.000317
87,16072.1,1.24692,1.14091,1.53815,0.81197,0.64574,0.70744,0.35251,1.82808,1.40016,2.11873,0.0002972,0.0002972,0.0002972
88,16320.8,1.2469,1.14639,1.53862,0.80586,0.61435,0.6966,0.3381,1.81828,1.37415,2.10722,0.0002774,0.0002774,0.0002774
89,16574,1.23812,1.12563,1.51983,0.8091,0.60822,0.72662,0.34981,1.80533,1.30275,2.07172,0.0002576,0.0002576,0.0002576
90,16823,1.21594,1.10653,1.49189,0.77788,0.62332,0.68677,0.34794,1.81423,1.37467,2.11771,0.0002378,0.0002378,0.0002378
